id,name,followers,popularity,genres,main_genre
39E15l8zeCDYpSZwFNX4G2,Eleni Foureira,459201,58,['laïko'],Pop
3Vci8iOFt2wRpNlqRem9hv,Anderson Michael,305,18,"['christian hip hop', 'christian r&b']",Hip-Hop
0dE2azLipjakJifWO2xrOO,Hopex,64450,38,['edm trap'],Electronic
1KTeOdeSoRAIv8xSpATVyZ,Daniel Wesley,7530,25,['reggae rock'],Folk
6U3gCOvxVWKBxXItqp3mdr,Emtee,791469,55,['hip hop'],Hip-Hop
4hadtPX6kKntrnA87Zdy01,Scott Storch,29299,47,[],Hip-Hop
0CXriIQ6nl9ChAUDTYGeAC,Mattéo Gelsomino,513,26,['metalcore'],Rock
5XMVfR85CUqujqUkN9c9VQ,"Time, The Valuator",46699,36,"['djent', 'progressive metal', 'metalcore']",Rock
6aEbeGfdxxopZ16HYw0I2D,North Side Kings,9606,16,"['hardcore', 'hardcore punk']",Electronic
7G9ZUoEjbi5Z2bR5w60S0h,Moka Only,18314,40,"['jazz rap', 'underground hip hop']",Hip-Hop
430xqR7JtpRzWBkOA93EG1,Walter Bobbie,416,28,['musicals'],Classical
2hbdxhfmHzxxkFXXuk5Fci,Luca Cazal,824,33,['afro house'],Electronic
1QhYcjSBJcTjgqk5oWoBNd,Timothy Shew,30,15,['musicals'],Classical
6PX9H0VMD5HjAL03EIlr3V,Jameston Thieves,8470,19,['bass house'],Electronic
0JRHb8olMfiOwGeEBojxLg,Richard Parker,12,9,['choral'],Classical
1QEJm4mWKmrboH7if0CYoL,Visages,24802,38,"['drum and bass', 'liquid funk', 'drumstep', 'jungle', 'bass music', 'dubstep']",Electronic
4aulLg9UvpHY9dIRqr30Qh,Infinity Ink,24812,38,"['afro house', 'house']",Electronic
7GClmgAfVQuWXsIyNNwxHH,J.K. Simmons,3186,31,['musicals'],Classical
0qFLKZ0dPh5K7XjKUudaXg,Cnoc An Tursa,2449,4,"['folk metal', 'black metal', 'melodic death metal']",Rock
4MwIblY8MKDYVTh9PwUzVp,Sauce Kid,28089,14,[],R&B
4TByvCGrRIFKUl3rMQKQa1,Isa Reyes,2924,24,[],Classical
21EcpJwmPm3tplWsCjbKl5,Noize Corp,14,0,[],Rock
6LCFuJlEO46XKJlT3ZguIa,Lexxus,45235,37,"['dancehall', 'ragga', 'riddim', 'reggae']",Folk
758sHPdw5FpB5ZM8f5MpXe,Maxo,51067,37,"['experimental hip hop', 'alternative hip hop']",Hip-Hop
2Sk9ARejPHclTzcpuOqj0O,The Firm,16340,25,['east coast hip hop'],Hip-Hop
4SxTtbkEKXwyhltXD7tnYQ,Hozho,144373,49,"['minimal techno', 'techno', 'melodic techno']",Electronic
3rxRCZSk8PIfXkJJm9MamG,Juliana Riccardi,247,2,['acoustic country'],Country
2yQwuvF6qxv98dqMrZ8iTm,Atlantis Chronicles,12084,20,"['melodic death metal', 'djent', 'deathcore', 'death metal', 'progressive metal']",Rock
